date,pred,act
2022-03-10,0,1
2022-03-11,0,1
2022-03-14,0,1
2022-03-15,0,1
2022-03-16,1,1
2022-03-17,1,0
2022-03-18,0,0
2022-03-21,1,1
2022-03-22,0,1
2022-03-23,0,1
2022-03-24,1,0
2022-03-25,0,1
2022-03-28,0,0
2022-03-29,0,0
2022-03-30,1,1
2022-03-31,1,0
2022-04-01,1,1
2022-04-04,1,0
2022-04-05,0,1
2022-04-06,0,0
2022-04-07,1,0
2022-04-08,0,1
2022-04-11,0,0
2022-04-12,1,1
2022-04-13,0,1
2022-04-14,1,0
2022-04-15,1,1
2022-04-18,1,1
2022-04-19,1,1
2022-04-20,1,1
2022-04-21,0,1
2022-04-22,0,0
2022-04-25,1,0
2022-04-26,0,0
2022-04-27,0,1
2022-04-28,0,0
